respect separated 1 0.00182149362477
right triangle 1 0.00182149362477
ring basically 1 0.00182149362477
ring game 1 0.00182149362477
roam around 1 0.00182149362477
roaming small 1 0.00182149362477
rotating funny 1 0.00182149362477
rotating outside 1 0.00182149362477
rotating red 1 0.00182149362477
rotating respect 1 0.00182149362477
rotating smaller 1 0.00182149362477
seem dancing 1 0.00182149362477
seem playing 1 0.00182149362477
seem rotating 1 0.00182149362477
seems happy 1 0.00182149362477
seems pushed 1 0.00182149362477
seems pushing 1 0.00182149362477
seems red 1 0.00182149362477
seems trying 1 0.00182149362477
seems very 1 0.00182149362477
semi closed 1 0.00182149362477
separated bigger 1 0.00182149362477
side inner 1 0.00182149362477
side rectangle 1 0.00182149362477
size blue 1 0.00182149362477
slightly bigger 1 0.00182149362477
slowly big 1 0.00182149362477
small big 1 0.00182149362477
small slightly 1 0.00182149362477
smaller again 1 0.00182149362477
smaller blue 1 0.00182149362477
smaller comes 1 0.00182149362477
smaller does 1 0.00182149362477
smaller doing 1 0.00182149362477
smaller easily 1 0.00182149362477
smaller move 1 0.00182149362477
smaller object 1 0.00182149362477
smaller pushed 1 0.00182149362477
smaller refusing 1 0.00182149362477
sort game 1 0.00182149362477
sort opening 1 0.00182149362477
sort ring 1 0.00182149362477
sort waiting 1 0.00182149362477
space bigger 1 0.00182149362477
specific things 1 0.00182149362477
specific ways 1 0.00182149362477
square coming 1 0.00182149362477
square cut 1 0.00182149362477
square outer 1 0.00182149362477
square pushed 1 0.00182149362477
square side 1 0.00182149362477
squares here 1 0.00182149362477
started playing 1 0.00182149362477
stay big 1 0.00182149362477
stay outside 1 0.00182149362477
still smaller 1 0.00182149362477
strategy does 1 0.00182149362477
stretch vertex 1 0.00182149362477
structure bigger 1 0.00182149362477
stuck door 1 0.00182149362477
success pushing 1 0.00182149362477
surroundings over 1 0.00182149362477
taunt red 1 0.00182149362477
themselves vertices 1 0.00182149362477
things outside 1 0.00182149362477
tips force 1 0.00182149362477
tips touching 1 0.00182149362477
touched triangles 1 0.00182149362477
touching rotating 1 0.00182149362477
touching triangles 1 0.00182149362477
triangle also 1 0.00182149362477
triangle blue 1 0.00182149362477
triangle box 1 0.00182149362477
triangle came 1 0.00182149362477
triangle coming 1 0.00182149362477
triangle focing 1 0.00182149362477
triangle goes 1 0.00182149362477
triangle going 1 0.00182149362477
triangle gone 1 0.00182149362477
triangle interacting 1 0.00182149362477
triangle move 1 0.00182149362477
triangle moves 1 0.00182149362477
triangle moving 1 0.00182149362477
triangle refusing 1 0.00182149362477
triangle rotating 1 0.00182149362477
triangle small 1 0.00182149362477
triangle smaller 1 0.00182149362477
triangle stuck 1 0.00182149362477
triangle tries 1 0.00182149362477
triangles bigger 1 0.00182149362477
triangles both 1 0.00182149362477
triangles enclosed 1 0.00182149362477
triangles inside 1 0.00182149362477
triangles outside 1 0.00182149362477
triangles over 1 0.00182149362477
triangles right 1 0.00182149362477
triangles rotating 1 0.00182149362477
triangles seem 1 0.00182149362477
triangles small 1 0.00182149362477
triangles squares 1 0.00182149362477
triangles stay 1 0.00182149362477
triangles touching 1 0.00182149362477
tries both 1 0.00182149362477
tries move 1 0.00182149362477
tries pull 1 0.00182149362477
tries push 1 0.00182149362477
tries roam 1 0.00182149362477
tries turn 1 0.00182149362477
trying align 1 0.00182149362477
trying best 1 0.00182149362477
trying corner 1 0.00182149362477
trying explore 1 0.00182149362477
trying pull 1 0.00182149362477
trying smaller 1 0.00182149362477
trying stretch 1 0.00182149362477
trying taunt 1 0.00182149362477
turn blue 1 0.00182149362477
using virtue 1 0.00182149362477
vertex again 1 0.00182149362477
vertex rotating 1 0.00182149362477
vertices semi 1 0.00182149362477
vertices touched 1 0.00182149362477
very forcefully 1 0.00182149362477
very slowly 1 0.00182149362477
virtue size 1 0.00182149362477
waiting ahead 1 0.00182149362477
waiting smaller 1 0.00182149362477
want remain 1 0.00182149362477
ways bigger 1 0.00182149362477
ways seem 1 0.00182149362477
win big 1 0.00182149362477
within space 1 0.00182149362477
work tries 1 0.00182149362477
again inside 2 0.00364298724954
attached vertex 2 0.00364298724954
big box 2 0.00364298724954
bigger rectangle 2 0.00364298724954
bigger red 2 0.00364298724954
both triangles 2 0.00364298724954
both trying 2 0.00364298724954
box big 2 0.00364298724954
box smaller 2 0.00364298724954
box sort 2 0.00364298724954
box tips 2 0.00364298724954
comes trying 2 0.00364298724954
moving around 2 0.00364298724954
object follows 2 0.00364298724954
object tries 2 0.00364298724954
object trying 2 0.00364298724954
outside again 2 0.00364298724954
outside arena 2 0.00364298724954
outside smaller 2 0.00364298724954
