here triangles small 1 0.00182481751825
inner square coming 1 0.00182481751825
inner square cut 1 0.00182481751825
inner square outer 1 0.00182481751825
inner square pushed 1 0.00182481751825
inside again trying 1 0.00182481751825
inside attached vertex 1 0.00182481751825
inside bigger triangle 1 0.00182481751825
inside box both 1 0.00182481751825
inside box roaming 1 0.00182481751825
inside box triangles 1 0.00182481751825
inside box tries 1 0.00182481751825
inside gone outside 1 0.00182481751825
inside small triangle 1 0.00182481751825
inside smaller triangle 1 0.00182481751825
interacting circling around 1 0.00182481751825
interacting small triangle 1 0.00182481751825
larger rectangle dances 1 0.00182481751825
letting bigger triangle 1 0.00182481751825
little triangles right 1 0.00182481751825
making smaller move 1 0.00182481751825
move big triangle 1 0.00182481751825
move box bigger 1 0.00182481751825
move drag push 1 0.00182481751825
move reason exploring 1 0.00182481751825
move small object 1 0.00182481751825
move specific ways 1 0.00182481751825
moves box sort 1 0.00182481751825
moves small object 1 0.00182481751825
moving around big 1 0.00182481751825
moving around very 1 0.00182481751825
moving outside box 1 0.00182481751825
moving very forcefully 1 0.00182481751825
object blocks small 1 0.00182481751825
object blue smaller 1 0.00182481751825
object both outside 1 0.00182481751825
object cannot enter 1 0.00182481751825
object follows comes 1 0.00182481751825
object follows strategy 1 0.00182481751825
object moves small 1 0.00182481751825
object moving outside 1 0.00182481751825
object small object 1 0.00182481751825
object tries both 1 0.00182481751825
object tries turn 1 0.00182481751825
object trying move 1 0.00182481751825
object trying taunt 1 0.00182481751825
object using virtue 1 0.00182481751825
object win big 1 0.00182481751825
open box tips 1 0.00182481751825
opening triangles seem 1 0.00182481751825
outer square side 1 0.00182481751825
outside acquainted surroundings 1 0.00182481751825
outside again gets 1 0.00182481751825
outside again interacting 1 0.00182481751825
outside arena after 1 0.00182481751825
outside arena smaller 1 0.00182481751825
outside bigger goes 1 0.00182481751825
outside bigger red 1 0.00182481751825
outside bigger triangle 1 0.00182481751825
outside both triangle 1 0.00182481751825
outside box big 1 0.00182481751825
outside box blue 1 0.00182481751825
outside box both 1 0.00182481751825
outside box playing 1 0.00182481751825
outside box pushing 1 0.00182481751825
outside box tips 1 0.00182481751825
outside completely smaller 1 0.00182481751825
outside door both 1 0.00182481751825
outside enjoying triangles 1 0.00182481751825
outside inside again 1 0.00182481751825
outside moving around 1 0.00182481751825
outside rectangle little 1 0.00182481751825
outside red triangle 1 0.00182481751825
outside small triangle 1 0.00182481751825
outside still smaller 1 0.00182481751825
outside triangles bigger 1 0.00182481751825
outside trying back 1 0.00182481751825
outside vertices touched 1 0.00182481751825
over both triangles 1 0.00182481751825
over here both 1 0.00182481751825
playing arena confined 1 0.00182481751825
playing around triangles 1 0.00182481751825
playing big object 1 0.00182481751825
playing inside box 1 0.00182481751825
playing outside enjoying 1 0.00182481751825
playing sort game 1 0.00182481751825
pull small triangle 1 0.00182481751825
pull smaller triangle 1 0.00182481751825
push bigger triangle 1 0.00182481751825
push blue object 1 0.00182481751825
push outside arena 1 0.00182481751825
push outside box 1 0.00182481751825
push small triangle 1 0.00182481751825
pushed outside smaller 1 0.00182481751825
pushed smaller smaller 1 0.00182481751825
pushed smaller triangle 1 0.00182481751825
pushing smaller pushed 1 0.00182481751825
pushing smaller rectangle 1 0.00182481751825
reason exploring bigger 1 0.00182481751825
rectangle dances around 1 0.00182481751825
rectangle larger rectangle 1 0.00182481751825
rectangle little triangles 1 0.00182481751825
rectangle smaller rectangle 1 0.00182481751825
rectangle smaller triangle 1 0.00182481751825
rectangle sort opening 1 0.00182481751825
rectangle triangles enclosed 1 0.00182481751825
red color again 1 0.00182481751825
red making smaller 1 0.00182481751825
red object blue 1 0.00182481751825
red object both 1 0.00182481751825
red object tries 1 0.00182481751825
red smaller blue 1 0.00182481751825
red triangle pushing 1 0.00182481751825
red triangle stuck 1 0.00182481751825
refusing finally trying 1 0.00182481751825
refusing move big 1 0.00182481751825
region bigger triangle 1 0.00182481751825
reluctant even letting 1 0.00182481751825
reluctant moving very 1 0.00182481751825
remain box both 1 0.00182481751825
remain box red 1 0.00182481751825
respect separated bigger 1 0.00182481751825
right triangle inside 1 0.00182481751825
ring basically small 1 0.00182481751825
ring game playing 1 0.00182481751825
roam around outside 1 0.00182481751825
roaming around bigger 1 0.00182481751825
roaming around region 1 0.00182481751825
roaming outside bigger 1 0.00182481751825
roaming outside both 1 0.00182481751825
roaming small triangle 1 0.00182481751825
rotating funny ways 1 0.00182481751825
rotating outside rectangle 1 0.00182481751825
rotating red object 1 0.00182481751825
rotating respect separated 1 0.00182481751825
rotating smaller triangle 1 0.00182481751825
seem dancing chasing 1 0.00182481751825
seem playing sort 1 0.00182481751825
seem rotating funny 1 0.00182481751825
seems happy connected 1 0.00182481751825
seems pushed smaller 1 0.00182481751825
seems pushing smaller 1 0.00182481751825
seems red triangle 1 0.00182481751825
seems trying move 1 0.00182481751825
seems very reluctant 1 0.00182481751825
semi closed box 1 0.00182481751825
separated bigger triangle 1 0.00182481751825
side inner square 1 0.00182481751825
side rectangle sort 1 0.00182481751825
size blue object 1 0.00182481751825
slightly bigger both 1 0.00182481751825
slowly big triangle 1 0.00182481751825
small big playing 1 0.00182481751825
small object both 1 0.00182481751825
small object cannot 1 0.00182481751825
small object follows 1 0.00182481751825
small object tries 1 0.00182481751825
small object win 1 0.00182481751825
small slightly bigger 1 0.00182481751825
small triangle refusing 1 0.00182481751825
small triangle roaming 1 0.00182481751825
small triangle rotating 1 0.00182481751825
small triangle small 1 0.00182481751825
small triangle trying 1 0.00182481751825
smaller again inside 1 0.00182481751825
smaller blue red 1 0.00182481751825
smaller comes trying 1 0.00182481751825
smaller does agree 1 0.00182481751825
smaller doing specific 1 0.00182481751825
smaller easily smaller 1 0.00182481751825
smaller move specific 1 0.00182481751825
smaller object both 1 0.00182481751825
smaller pushed smaller 1 0.00182481751825
smaller rectangle smaller 1 0.00182481751825
smaller rectangle triangles 1 0.00182481751825
smaller refusing finally 1 0.00182481751825
smaller smaller again 1 0.00182481751825
smaller smaller refusing 1 0.00182481751825
smaller triangle blue 1 0.00182481751825
smaller triangle box 1 0.00182481751825
smaller triangle coming 1 0.00182481751825
smaller triangle inner 1 0.00182481751825
smaller triangle inside 1 0.00182481751825
smaller triangle moving 1 0.00182481751825
smaller triangle roaming 1 0.00182481751825
smaller triangle smaller 1 0.00182481751825
smaller triangle still 1 0.00182481751825
smaller triangle tries 1 0.00182481751825
smaller triangle trying 1 0.00182481751825
sort game here 1 0.00182481751825
sort opening triangles 1 0.00182481751825
sort ring game 1 0.00182481751825
sort waiting smaller 1 0.00182481751825
space bigger comes 1 0.00182481751825
specific things outside 1 0.00182481751825
specific ways bigger 1 0.00182481751825
square coming again 1 0.00182481751825
square cut bigger 1 0.00182481751825
square outer square 1 0.00182481751825
square pushed outside 1 0.00182481751825
square side inner 1 0.00182481751825
squares here inner 1 0.00182481751825
started playing outside 1 0.00182481751825
