going outside box big 1 0.0018281535649
gone outside completely smaller 1 0.0018281535649
gone outside inside again 1 0.0018281535649
gone outside trying back 1 0.0018281535649
gone trying back pushing 1 0.0018281535649
happy connected triangles squares 1 0.0018281535649
here bigger triangle pushing 1 0.0018281535649
here both playing inside 1 0.0018281535649
here inner square outer 1 0.0018281535649
here triangles small big 1 0.0018281535649
inner square coming again 1 0.0018281535649
inner square cut bigger 1 0.0018281535649
inner square outer square 1 0.0018281535649
inner square pushed outside 1 0.0018281535649
inside again trying corner 1 0.0018281535649
inside attached vertex red 1 0.0018281535649
inside bigger triangle came 1 0.0018281535649
inside box both triangles 1 0.0018281535649
inside box roaming small 1 0.0018281535649
inside box triangles touching 1 0.0018281535649
inside box tries push 1 0.0018281535649
inside gone outside completely 1 0.0018281535649
inside small triangle trying 1 0.0018281535649
inside smaller triangle trying 1 0.0018281535649
interacting circling around structure 1 0.0018281535649
interacting small triangle rotating 1 0.0018281535649
larger rectangle dances around 1 0.0018281535649
letting bigger triangle move 1 0.0018281535649
little triangles right triangle 1 0.0018281535649
making smaller move specific 1 0.0018281535649
move big triangle trying 1 0.0018281535649
move box bigger triangle 1 0.0018281535649
move drag push blue 1 0.0018281535649
move reason exploring bigger 1 0.0018281535649
move small object win 1 0.0018281535649
move specific ways bigger 1 0.0018281535649
moves box sort waiting 1 0.0018281535649
moves small object follows 1 0.0018281535649
moving around big triangle 1 0.0018281535649
moving around very slowly 1 0.0018281535649
moving outside box blue 1 0.0018281535649
moving very forcefully bigger 1 0.0018281535649
object blocks small object 1 0.0018281535649
object blue smaller object 1 0.0018281535649
object both fighting remain 1 0.0018281535649
object both fighting stay 1 0.0018281535649
object both outside box 1 0.0018281535649
object cannot enter big 1 0.0018281535649
object follows comes box 1 0.0018281535649
object follows strategy does 1 0.0018281535649
object moves small object 1 0.0018281535649
object moving outside box 1 0.0018281535649
object small object both 1 0.0018281535649
object tries both fighting 1 0.0018281535649
object tries turn blue 1 0.0018281535649
object trying move small 1 0.0018281535649
object trying taunt red 1 0.0018281535649
object using virtue size 1 0.0018281535649
object win big object 1 0.0018281535649
open box tips touching 1 0.0018281535649
opening triangles seem dancing 1 0.0018281535649
outer square side inner 1 0.0018281535649
outside acquainted surroundings over 1 0.0018281535649
outside again gets success 1 0.0018281535649
outside again interacting circling 1 0.0018281535649
outside arena after exploring 1 0.0018281535649
outside arena smaller comes 1 0.0018281535649
outside bigger goes outside 1 0.0018281535649
outside bigger red color 1 0.0018281535649
outside bigger triangle also 1 0.0018281535649
outside both triangle outside 1 0.0018281535649
outside box big triangle 1 0.0018281535649
outside box blue object 1 0.0018281535649
outside box both fighting 1 0.0018281535649
outside box playing around 1 0.0018281535649
outside box pushing smaller 1 0.0018281535649
outside box tips force 1 0.0018281535649
outside completely smaller roaming 1 0.0018281535649
outside door both attached 1 0.0018281535649
outside enjoying triangles over 1 0.0018281535649
outside inside again trying 1 0.0018281535649
outside moving around very 1 0.0018281535649
outside rectangle little triangles 1 0.0018281535649
outside red triangle outside 1 0.0018281535649
outside small triangle outside 1 0.0018281535649
outside smaller triangle blue 1 0.0018281535649
outside smaller triangle outside 1 0.0018281535649
outside still smaller triangle 1 0.0018281535649
outside triangles bigger red 1 0.0018281535649
outside trying back comes 1 0.0018281535649
outside vertices touched triangles 1 0.0018281535649
over both triangles stay 1 0.0018281535649
over here both playing 1 0.0018281535649
playing arena confined within 1 0.0018281535649
playing around triangles both 1 0.0018281535649
playing big object moves 1 0.0018281535649
playing inside box roaming 1 0.0018281535649
playing outside enjoying triangles 1 0.0018281535649
playing sort game here 1 0.0018281535649
pull small triangle small 1 0.0018281535649
pull smaller triangle outside 1 0.0018281535649
push bigger triangle outside 1 0.0018281535649
push blue object using 1 0.0018281535649
push outside arena smaller 1 0.0018281535649
push outside box bigger 1 0.0018281535649
push small triangle outside 1 0.0018281535649
push smaller triangle inner 1 0.0018281535649
pushed outside smaller triangle 1 0.0018281535649
pushed smaller smaller again 1 0.0018281535649
pushed smaller triangle smaller 1 0.0018281535649
pushing smaller pushed smaller 1 0.0018281535649
pushing smaller rectangle smaller 1 0.0018281535649
pushing smaller triangle box 1 0.0018281535649
pushing smaller triangle tries 1 0.0018281535649
reason exploring bigger rectangle 1 0.0018281535649
rectangle dances around here 1 0.0018281535649
rectangle larger rectangle dances 1 0.0018281535649
rectangle little triangles right 1 0.0018281535649
rectangle smaller rectangle triangles 1 0.0018281535649
rectangle smaller triangle seems 1 0.0018281535649
rectangle sort opening triangles 1 0.0018281535649
rectangle triangles enclosed side 1 0.0018281535649
red color again inside 1 0.0018281535649
red making smaller move 1 0.0018281535649
red object blue smaller 1 0.0018281535649
red object both outside 1 0.0018281535649
red object tries turn 1 0.0018281535649
red smaller blue red 1 0.0018281535649
red triangle outside bigger 1 0.0018281535649
red triangle outside door 1 0.0018281535649
red triangle pushing smaller 1 0.0018281535649
red triangle stuck door 1 0.0018281535649
refusing finally trying best 1 0.0018281535649
refusing move big triangle 1 0.0018281535649
region bigger triangle seems 1 0.0018281535649
reluctant even letting bigger 1 0.0018281535649
reluctant moving very forcefully 1 0.0018281535649
remain box both want 1 0.0018281535649
remain box red object 1 0.0018281535649
respect separated bigger triangle 1 0.0018281535649
right triangle inside attached 1 0.0018281535649
ring basically small object 1 0.0018281535649
ring game playing big 1 0.0018281535649
roam around outside acquainted 1 0.0018281535649
roaming around bigger triangle 1 0.0018281535649
roaming around region bigger 1 0.0018281535649
roaming outside bigger goes 1 0.0018281535649
roaming outside both triangle 1 0.0018281535649
roaming small triangle roaming 1 0.0018281535649
rotating funny ways seem 1 0.0018281535649
rotating outside rectangle little 1 0.0018281535649
rotating red object blue 1 0.0018281535649
rotating respect separated bigger 1 0.0018281535649
rotating smaller triangle moving 1 0.0018281535649
seem dancing chasing seem 1 0.0018281535649
seem playing sort game 1 0.0018281535649
seem rotating funny ways 1 0.0018281535649
seems happy connected triangles 1 0.0018281535649
seems pushed smaller triangle 1 0.0018281535649
seems pushing smaller triangle 1 0.0018281535649
seems red triangle stuck 1 0.0018281535649
seems trying move reason 1 0.0018281535649
seems very reluctant even 1 0.0018281535649
semi closed box bigger 1 0.0018281535649
separated bigger triangle moves 1 0.0018281535649
side inner square cut 1 0.0018281535649
side rectangle sort opening 1 0.0018281535649
size blue object trying 1 0.0018281535649
slightly bigger both trying 1 0.0018281535649
slowly big triangle interacting 1 0.0018281535649
small big playing arena 1 0.0018281535649
small object both fighting 1 0.0018281535649
small object cannot enter 1 0.0018281535649
small object follows comes 1 0.0018281535649
small object tries both 1 0.0018281535649
small object win big 1 0.0018281535649
small slightly bigger both 1 0.0018281535649
small triangle outside moving 1 0.0018281535649
small triangle outside small 1 0.0018281535649
small triangle refusing move 1 0.0018281535649
small triangle roaming around 1 0.0018281535649
small triangle rotating outside 1 0.0018281535649
small triangle small triangle 1 0.0018281535649
small triangle trying stretch 1 0.0018281535649
smaller again inside gone 1 0.0018281535649
smaller blue red making 1 0.0018281535649
smaller comes trying explore 1 0.0018281535649
smaller does agree trying 1 0.0018281535649
smaller doing specific things 1 0.0018281535649
smaller easily smaller roaming 1 0.0018281535649
smaller move specific ways 1 0.0018281535649
