outside red triangle outside 0.0
outside small triangle outside 0.0
outside smaller triangle blue 0.0
outside smaller triangle outside 0.0
outside still smaller triangle 0.0
outside triangles bigger red 0.0
outside trying back comes 0.0
outside vertices touched triangles 0.0
over both triangles stay 0.0
over here both playing 0.0
playing arena confined within 0.0
playing around triangles both 0.0
playing big object moves 0.0
playing inside box roaming 0.0
playing outside enjoying triangles 0.0
playing sort game here 0.0
pull small triangle small 0.0
pull smaller triangle outside 0.0
push bigger triangle outside 0.0
push blue object using 0.0
push outside arena smaller 0.0
push outside box bigger 0.0
push small triangle outside 0.0
push smaller triangle inner 0.0
pushed outside smaller triangle 0.0
pushed smaller smaller again 0.0
pushed smaller triangle smaller 0.0
pushing smaller pushed smaller 0.0
pushing smaller rectangle smaller 0.0
pushing smaller triangle box 0.0
pushing smaller triangle tries 0.0
reason exploring bigger rectangle 0.0
rectangle dances around here 0.0
rectangle larger rectangle dances 0.0
rectangle little triangles right 0.0
rectangle smaller rectangle triangles 0.0
rectangle smaller triangle seems 0.0
rectangle sort opening triangles 0.0
rectangle triangles enclosed side 0.0
red color again inside 0.0
red making smaller move 0.0
red object blue smaller 0.0
red object both outside 0.0
red object tries turn 0.0
red smaller blue red 0.0
red triangle outside bigger 0.0
red triangle outside door 0.0
red triangle pushing smaller 0.0
red triangle stuck door 0.0
refusing finally trying best 0.0
refusing move big triangle 0.0
region bigger triangle seems 0.0
reluctant even letting bigger 0.0
reluctant moving very forcefully 0.0
remain box both want 0.0
remain box red object 0.0
respect separated bigger triangle 0.0
right triangle inside attached 0.0
ring basically small object 0.0
ring game playing big 0.0
roam around outside acquainted 0.0
roaming around bigger triangle 0.0
roaming around region bigger 0.0
roaming outside bigger goes 0.0
roaming outside both triangle 0.0
roaming small triangle roaming 0.0
rotating funny ways seem 0.0
rotating outside rectangle little 0.0
rotating red object blue 0.0
rotating respect separated bigger 0.0
rotating smaller triangle moving 0.0
seem dancing chasing seem 0.0
seem playing sort game 0.0
seem rotating funny ways 0.0
seems happy connected triangles 0.0
seems pushed smaller triangle 0.0
seems pushing smaller triangle 0.0
seems red triangle stuck 0.0
seems trying move reason 0.0
seems very reluctant even 0.0
semi closed box bigger 0.0
separated bigger triangle moves 0.0
side inner square cut 0.0
side rectangle sort opening 0.0
size blue object trying 0.0
slightly bigger both trying 0.0
slowly big triangle interacting 0.0
small big playing arena 0.0
small object both fighting 0.0
small object cannot enter 0.0
small object follows comes 0.0
small object tries both 0.0
small object win big 0.0
small slightly bigger both 0.0
small triangle outside moving 0.0
small triangle outside small 0.0
small triangle refusing move 0.0
small triangle roaming around 0.0
small triangle rotating outside 0.0
small triangle small triangle 0.0
small triangle trying stretch 0.0
smaller again inside gone 0.0
smaller blue red making 0.0
smaller comes trying explore 0.0
smaller does agree trying 0.0
smaller doing specific things 0.0
smaller easily smaller roaming 0.0
smaller move specific ways 0.0
smaller object both fighting 0.0
smaller pushed smaller smaller 0.0
smaller rectangle smaller triangle 0.0
smaller rectangle triangles enclosed 0.0
smaller refusing finally trying 0.0
smaller roaming outside bigger 0.0
smaller roaming outside both 0.0
smaller smaller again inside 0.0
smaller smaller refusing finally 0.0
smaller triangle blue color 0.0
smaller triangle box waiting 0.0
smaller triangle coming smaller 0.0
smaller triangle inner square 0.0
smaller triangle inside box 0.0
smaller triangle moving around 0.0
smaller triangle outside again 0.00961538461538
smaller triangle outside bigger 0.0
smaller triangle outside smaller 0.0
smaller triangle outside still 0.0
smaller triangle roaming around 0.0
smaller triangle seems trying 0.0
smaller triangle seems very 0.0
smaller triangle smaller triangle 0.0
smaller triangle still inside 0.0
smaller triangle tries roam 0.0
smaller triangle trying push 0.0
sort game here bigger 0.0
sort opening triangles seem 0.0
sort ring game playing 0.0
sort waiting smaller triangle 0.0
space bigger comes trying 0.0
specific things outside box 0.0
specific ways bigger gone 0.0
square coming again again 0.0
square cut bigger triangle 0.0
square outer square side 0.0
square pushed outside smaller 0.0
square side inner square 0.0
squares here inner square 0.0
started playing outside enjoying 0.0
stay big box sort 0.0
stay outside triangles bigger 0.0
still inside bigger triangle 0.0
still inside box both 0.0
still smaller triangle inside 0.0
strategy does work tries 0.0
stretch vertex red triangle 0.0
structure bigger rectangle smaller 0.0
stuck door blue triangle 0.0
success pushing smaller triangle 0.0
surroundings over both triangles 0.0
taunt red object both 0.0
themselves vertices semi closed 0.0
things outside box pushing 0.0
tips force smaller easily 0.0
tips touching triangles rotating 0.0
touched triangles box small 0.0
touching rotating smaller triangle 0.0
touching triangles rotating respect 0.0
triangle also outside vertices 0.0
triangle blue color seems 0.0
triangle box waiting ahead 0.0
triangle came inside smaller 0.0
triangle coming smaller triangle 0.0
triangle focing triangles inside 0.0
triangle goes tries pull 0.0
triangle going outside box 0.0
triangle gone outside trying 0.0
triangle inner square coming 0.0
triangle inner square pushed 0.0
triangle inside attached vertex 0.0
triangle inside box tries 0.0
triangle interacting small triangle 0.0
triangle move box bigger 0.0
triangle moves box sort 0.0
triangle moving around big 0.0
triangle outside again gets 0.0
triangle outside bigger red 0.0
triangle outside bigger triangle 0.0
triangle outside box tips 0.0
triangle outside door both 0.0
triangle outside moving around 0.0
triangle outside red triangle 0.0
triangle outside small triangle 0.0
triangle outside smaller triangle 0.0
triangle outside still smaller 0.0
triangle pushing smaller rectangle 0.0
triangle pushing smaller triangle 0.0
triangle refusing move big 0.0
triangle roaming around bigger 0.0
triangle roaming around region 0.0
triangle rotating outside rectangle 0.0
triangle seems happy connected 0.0
triangle seems pushed smaller 0.0
triangle seems pushing smaller 0.0
triangle seems trying move 0.0
triangle seems very reluctant 0.0
triangle small triangle refusing 0.0
triangle smaller triangle roaming 0.0
triangle still inside bigger 0.0
triangle still inside box 0.0
triangle stuck door blue 0.0
triangle tries roam around 0.0
triangle trying pull small 0.0
triangle trying push outside 0.0
triangle trying push small 0.0
triangle trying stretch vertex 0.0
triangles bigger red smaller 0.0
triangles both trying align 0.0
triangles box open box 0.0
triangles box small slightly 0.0
triangles enclosed side rectangle 0.0
triangles inside box triangles 0.0
triangles outside box playing 0.0
triangles over here both 0.0
triangles right triangle inside 0.0
triangles rotating respect separated 0.0
triangles seem dancing chasing 0.0
triangles small big playing 0.0
triangles squares here inner 0.0
triangles stay outside triangles 0.0
triangles touching rotating smaller 0.0
tries move drag push 0.0
tries pull smaller triangle 0.0
tries push smaller triangle 0.0
tries roam around outside 0.0
tries turn blue object 0.0
trying align themselves vertices 0.0
trying back comes back 0.0
trying back pushing smaller 0.0
trying best smaller does 0.0
trying corner smaller doing 0.0
trying explore area outside 0.0
trying move reason exploring 0.0
trying move small object 0.0
trying pull small triangle 0.0
trying push bigger triangle 0.0
trying push outside arena 0.0
trying push outside box 0.0
trying push small triangle 0.0
trying smaller smaller refusing 0.0
trying stretch vertex red 0.0
trying taunt red object 0.0
turn blue object moving 0.0
using virtue size blue 0.0
vertex again gone trying 0.0
vertex red triangle outside 0.0
vertex red triangle pushing 0.0
vertex rotating red object 0.0
vertices semi closed box 0.0
vertices touched triangles box 0.0
very forcefully bigger triangle 0.0
very reluctant even letting 0.0
very reluctant moving very 0.0
very slowly big triangle 0.0
virtue size blue object 0.0
waiting ahead very reluctant 0.0
waiting smaller triangle coming 0.0
want remain box red 0.0
ways bigger gone outside 0.0
ways seem playing sort 0.0
win big object blocks 0.0
within space bigger comes 0.0
work tries move drag 0.0
bigger triangle trying push 0.0
outside box smaller triangle 0.0
push smaller triangle outside 0.0
pushing smaller triangle outside 0.0
triangle outside box bigger 0.0
triangle outside box smaller 0.0
triangle trying push smaller 0.0
trying push smaller triangle 0.0
outside box bigger triangle 0.0
smaller triangle outside box 0.0
