acquainted surroundings 0.0
after exploring 0.041123682976
again again 0.0
again bigger 0.0
again gets 0.0
again gone 0.0212314419502
again interacting 0.0
again trying 0.0
agree trying 0.0
ahead very 0.0
align themselves 0.0218067211716
also outside 0.0
another vertex 0.010083420323
area outside 0.00126302729514
arena after 0.0
arena confined 0.0
arena smaller 0.0
around big 0.0
around bigger 0.0
around here 0.0
around outside 0.0
around region 0.0
around structure 0.0
around triangles 0.0
around very 0.0
attaches another 0.0
back attaches 0.0
back comes 0.0
back pushing 0.0
basically both 0.022967620222
basically small 0.0
best smaller 0.0
big playing 0.0
bigger both 0.0
bigger comes 0.0
bigger goes 0.0
bigger gone 0.0
blocks small 0.0
blue color 0.0
blue red 0.0
blue smaller 0.0140993045804
blue triangle 0.0130656182609
both attached 0.0
both outside 0.0
both playing 0.0
both started 0.041123682976
both triangle 0.0
both want 0.0135801234836
box basically 0.0
box blue 0.0
box open 0.0
box playing 0.0
box pushing 0.0
box red 0.0
box ring 0.0
box roaming 0.0
box small 0.0
box triangles 0.0
box tries 0.0
box waiting 0.0
came inside 0.0
cannot enter 0.0
chasing seem 0.0
circling around 0.00437050877883
closed box 0.0115512989228
color again 0.0
color seems 0.0
comes back 0.00360638772575
comes box 0.0
coming again 0.00730320810429
coming smaller 0.0
completely smaller 0.0
confined within 0.00642794979651
connected triangles 0.0
corner smaller 0.0
cut bigger 0.0
dances around 0.0
dancing chasing 0.0
does agree 0.0
does work 0.0
doing specific 0.0
door blue 0.0
door both 0.0
drag push 0.0
easily smaller 0.0
enclosed side 0.0
enjoying triangles 0.0
enter big 0.0
even letting 0.010083420323
explore area 0.0
exploring bigger 0.0
exploring both 0.0
fighting big 0.0
fighting box 0.0
fighting remain 0.0
fighting stay 0.0
finally trying 0.0
focing triangles 0.0
follows comes 0.0
follows strategy 0.0
force smaller 0.0
forcefully bigger 0.0
funny ways 0.00558143659812
game here 0.0
game playing 0.0
gets success 0.0
goes outside 0.010083420323
goes tries 0.0
going outside 0.0
gone trying 0.0
happy connected 0.0
here bigger 0.0
here both 0.0
here inner 0.0
here triangles 0.0
inside again 0.0
inside attached 0.0
inside bigger 0.0
inside gone 0.0
inside small 0.0
inside smaller 0.0
interacting circling 0.0
interacting small 0.0
larger rectangle 0.0105673265743
letting bigger 0.0
little triangles 0.0
making smaller 0.0
move big 0.0
move box 0.0
move drag 0.0
move reason 0.0
move small 0.0
move specific 0.0
moves box 0.0
moves small 0.0
moving outside 0.0
moving very 0.0
object blocks 0.0
object blue 0.0
object cannot 0.0
object moves 0.0333368723412
object moving 0.0
object small 0.0
object using 0.0
object win 0.0
open box 0.00288061895642
opening triangles 0.0
outer square 0.0253292020775
outside acquainted 0.0
outside both 0.0
outside completely 0.0
outside door 0.0
outside enjoying 0.0
outside inside 0.0
outside moving 0.0
outside rectangle 0.0
outside red 0.0
outside small 0.0
outside still 0.0
outside triangles 0.0
outside trying 0.0
outside vertices 0.0
over both 0.0
over here 0.00516963828285
playing arena 0.0
playing around 0.00156130304879
playing big 0.0
playing inside 0.0
playing outside 0.041123682976
playing sort 0.0
pull small 0.0
pull smaller 0.0
push bigger 0.0
push blue 0.0
push small 0.0
pushed outside 0.0
reason exploring 0.0
