object tries 0.0161510064564
object trying 0.0
outside again 0.0184563082279
outside arena 0.0
outside smaller 0.0
push outside 0.0
pushed smaller 0.0
rectangle smaller 0.0
remain box 0.0
roaming around 0.017064032526
roaming outside 0.0130571114752
smaller rectangle 0.0
smaller roaming 0.0
smaller smaller 0.0
still inside 0.0247792162055
triangle inner 0.0
triangle inside 0.0109519660657
triangle pushing 0.0
triangle roaming 0.0
triangle still 0.0
triangles box 0.0
trying back 0.0
trying move 0.0
vertex red 0.0
very reluctant 0.00185279462704
box both 0.0
gone outside 0.0101965238757
object both 0.0
outside bigger 0.0
push smaller 0.0
red object 0.0077206082281
big object 0.0
big triangle 0.0383247068193
blue object 0.0416690321563
inner square 0.00290641453579
inside box 0.0
red triangle 0.0500622741322
both fighting 0.0
box bigger 0.0
small object -0.00263899798276
triangle seems 0.0112986885437
pushing smaller 0.0
triangle trying 0.0
trying push 0.0
small triangle 0.0239138010308
outside box 0.0
triangle outside 0.0186289309144
bigger triangle 0.107478454815
smaller triangle 0.185500718829
